[06-01-2026 09:34:50] Mencari info auditd untuk: /var/www/OJS/tes.php
[06-01-2026 09:34:50] Mencari info auditd untuk: /var/www/OJS/tes.php
[06-01-2026 11:04:56] Scan: /var/www/OJS/plugins/paymethod/paypal/vendor/omnipay/common/src/Common/Http/Exception/ppi5-2.php | Result: [BAHAYA] | Action: DIUBAH
[06-01-2026 11:27:21] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | Action: DIUBAH/DIBUAT
[06-01-2026 11:29:11] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | Action: DIUBAH/DIBUAT
[06-01-2026 11:33:25] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/tes.php | Sev: [BAHAYA]
[06-01-2026 11:33:25] Event: IN_CREATE -> DITAMBAHKAN | Path: /var/www/OJS/tes.php | Sev: [BAHAYA]
[06-01-2026 11:33:40] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/tes.php | Sev: [MALWARE]
[06-01-2026 11:33:46] Event: IN_MOVED_FROM -> DIHAPUS | Path: /var/www/OJS/tes.php | Sev: [BAHAYA]
[06-01-2026 11:34:25] Event: IN_CREATE -> DITAMBAHKAN | Path: /var/www/OJS/tes.php | Sev: [BAHAYA]
[06-01-2026 11:34:25] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/tes.php | Sev: [BAHAYA]
[06-01-2026 11:34:29] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/tes.php | Sev: [MALWARE]
[06-01-2026 11:34:33] Event: IN_MOVED_FROM -> DIHAPUS | Path: /var/www/OJS/tes.php | Sev: [BAHAYA]
[06-01-2026 12:54:49] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/lib/pkp/classes/core/PKPApplication.php | Sev: [BAHAYA]
[06-01-2026 12:57:20] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/lib/pkp/classes/core/PKPApplication.php | Sev: [BAHAYA]
[06-01-2026 12:59:53] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/pages/index/index.php | Sev: [BAHAYA]
[06-01-2026 13:12:51] Event: IN_CREATE -> DITAMBAHKAN | Path: /var/www/OJS/google4cc38f1d6db3236f.html | Sev: Normal
[06-01-2026 13:12:51] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/google4cc38f1d6db3236f.html | Sev: Normal
[06-01-2026 13:23:40] Event: IN_DELETE -> DIHAPUS | Path: /var/www/OJS/google4cc38f1d6db3236f.html | Sev: Normal
[06-01-2026 20:54:08] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/public/site/profileImage-2618.jpg | Sev: [MALWARE]
[06-01-2026 20:54:08] Event: IN_CREATE -> DITAMBAHKAN | Path: /var/www/OJS/public/site/profileImage-2618.jpg | Sev: [MALWARE]
[06-01-2026 20:54:14] Event: IN_DELETE -> DIHAPUS | Path: /var/www/OJS/public/site/profileImage-2618.jpg | Sev: [KEGIATAN MENCURIGAKAN]
[06-01-2026 20:54:24] Event: IN_CLOSE_WRITE -> DIUBAH | Path: /var/www/OJS/public/site/profileImage-2618.jpg | Sev: [MALWARE]
[06-01-2026 20:54:24] Event: IN_CREATE -> DITAMBAHKAN | Path: /var/www/OJS/public/site/profileImage-2618.jpg | Sev: [MALWARE]
[06-01-2026 20:54:33] Event: IN_DELETE -> DIHAPUS | Path: /var/www/OJS/public/site/profileImage-2618.jpg | Sev: [KEGIATAN MENCURIGAKAN]
